id,ordinamento,nome_italiano,nome_inglese,prezzo,prezzo_asporto,asporto,solo_asporto,photo,descrizione_italiano,descrizione_inglese,show_desc,surgelato,allergeni,id_categoria_menu,enable,created_at,updated_at
67,64,DIPLOMATICO ,DIPLOMATICO ,8.0,,0,0,,,,0,0,[],14,1,2024-08-02 16:07:53,2024-09-27 15:22:51
68,65,DON PAPA,DON PAPA,8.0,,0,0,,,,0,0,[],14,1,2024-08-02 16:08:07,2024-09-27 15:22:51
69,66,TALISKER,TALISKER,8.0,,0,0,,,,0,0,[],14,1,2024-08-02 16:08:23,2024-09-27 15:22:51
70,67,OBAN ,OBAN ,8.0,,0,0,,,,0,0,[],14,1,2024-08-02 16:08:36,2024-09-27 15:22:51
71,68,LAPHROAIG,LAPHROAIG ,8.0,,0,0,,,,0,0,[],14,1,2024-08-02 16:09:38,2024-09-27 15:22:51
72,32,tiramisù senza glutine ,Tiramisù glutenfree,6.0,,0,0,,,,0,1,"[""5"", ""14"", ""13""]",10,1,2024-08-11 17:20:36,2024-09-27 15:22:51
73,42,MORETTI IPA ,Ipa Moretti ,4.0,,0,0,,0.33,,0,0,[],13,1,2024-09-11 16:24:01,2024-09-27 15:22:51
74,23,Mela Pasticcera ,Pastry Apple ,6.0,,0,0,,Mela cotta al forno ripiena di crema pasticcera ricoperta di pasta sfoglia ,,0,0,"[""1"", ""4"", ""5"", ""3"", ""14""]",10,1,2024-09-23 20:07:37,2024-10-15 17:36:16
75,22,Tortino al cioccolato,Tortino al cioccolato ,6.0,,0,0,,,,0,0,"[""14"", ""3"", ""4""]",10,1,2024-10-06 17:49:44,2024-10-16 17:27:48
76,0,Broccoletti,Broccoletti ,6.0,,0,0,,,,0,0,[],5,1,2024-10-17 18:37:34,2024-10-17 18:37:34
